Boba_pl,Address,Latitude,Longitude
ChaChaGo Phố Huế,"47 Phố Huế, Hà Nội",21.0196224,105.8279184
ChaChaGo Ô Chợ Dừa,"113 Ô Chợ Dừa, Hà Nội",20.9664526,105.7771347
House of Cha Tô Hiệu,"124 Tô Hiệu, Hà Nội",21.040285,105.847202
House of Cha Quán Thánh,"4 Quán Thánh, Hà Nội",21.0004435,105.8027418
House of Cha Ngụy Như Kom Tum,"102 Ngụy Như Kom Tum, Thanh Xuân, Hà Nội",21.031491,105.823973
House of Cha Kim Mã,"185 Kim Mã, Hà Nội",21.0136899,105.8340432
LeeTee,"157 Xã Đàn, Hà Nội",21.021715,105.83149
XingCha Tôn Đức Thắng,"215 Tôn Đức Thắng, Đống Đa, Hà Nội",21.0097082,105.8493054
XingCha Bà Triệu,"193A Bà Triệu, Hà Nội",21.033048,105.853014
XingCha Gia Ngư,"14 Gia Ngư, Hà Nội",21.0002367,105.8454768
XingCha Trần Đại Nghĩa,"183 Trần Đại Nghĩa, Hà Nội",21.0368442,105.8020599
XingCha Nguyễn Khánh Toàn,"87 Nguyễn Khánh Toàn, Hà Nội",21.0037252,105.8694746
XingCha Minh Khai,"635 Minh Khai, Hà Nội",21.0216276,105.791277
XingCha Trung Kính,"210 Trung Kính, Hà Nội",21.028457,105.8508669
Chat Time,"128 Hàng Trống, Hà Nội",20.9682872,105.7723662
Feelingtea Quang Trung,"169 Quang Trung, Hà Đông",21.043027,105.835981
Feelingtea Thahnh Niên,"11 Thanh Niên, Hà Nội",21.015321,105.859553
Feelingtea Trần Thái Tông,"4 Trần Thái Tông, Hà Nội ",20.9564368,105.8431481
Feelingtea Ngọc Hồi,"137 Ngọc Hồi, Hà Nội  ",21.019245,105.8338179
Feelingtea Khâm Thiên,"219C Khâm Thiên, Hà Nội",21.036976,105.776852
Feelingtea Hồ Tùng Mậu,"112 Hồ Tùng Mậu, Hà Nội  ",21.0377899,105.8092824
Feelingtea Đội Cấn,"123 Đội Cấn, Hà Nội",20.998379,105.850258
Feelingtea Bạch Mai,"401 Bạch Mai, Hà Nội",21.0236074,105.8053693
Feelingtea Chùa Láng,"163 Chùa Láng, Hà Nội",21.032208,105.85252
Feelingtea Cầu Gỗ ,"45 Cầu Gỗ, Hà Nội",21.027815,105.842468
Feelingtea Cửa Nam,"59 Cửa Nam, Hà Nội",21.028244,105.825633
Feelingtea Giảng Võ,"155 Giảng Võ, Hà Nội",21.0014898,105.8451719
Feelingtea Trần Đại Nghĩa,"147 Trần Đại Nghĩa, Hà Nội",20.986004,105.814251
Feelingtea Khương Hạ,"22 Khương Hạ, Hà Nội",21.046041,105.8707809
Feelingtea Ngọc Lâm,"162 Ngọc Lâm, Hà Nội",21.009772,105.849993
Feelingtea Lê Đại Hành,"13 Lê Đại Hành, Hà Nội    ",20.9991169,105.862198
Feelingtea Kim Ngưu,"491 Kim Ngưu, Hà Nội",20.9647279,105.7937276
Feelingtea Phùng Hưng,"68 Phùng Hưng, Hà Đông  ",21.016982,105.830645
Feelingtea Xã Đàn,"99 Xã Đàn, Hà Nội",21.0122022,105.8174835
Feelingtea Yên Lãng,"61 Yên Lãng, Hà Nội",21.043498,105.872259
Feelingtea Nguyễn Văn Cừ,"192 Nguyễn Văn Cừ, Hà Nội",21.036243,105.782508
Feelingtea Indochina,"K1 -2A Tầng 1 TT-TM Indochina Plaza, Hà Nội",21.010079,105.860399
Feelingtea Lò Đúc,"226 Lò Đúc, Hà Nội",20.983622,105.849511
Feelingtea Tân Mai,"128 Tân Mai, Hà Nội",21.0167469,105.8064725
Trà Tiên Huởng Nguyễn Chí Thanh,"145 Nguyễn Chí Thanh, Hà Nội",20.992873,105.805402
Trà Tiên Hưởng Nguyễn Trãi,"446 Nguyễn Trãi, Hà Nội",,
